ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,2,-4.375,4,17,0.65,331 334 337 338,True,3.7,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,3,-4.243,6,16,0.62,331 334 335 338 341 342,True,3.89,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,4,-4.216,4,19,0.73,331 334 335 337,True,3.71,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,5,-4.189,4,15,0.58,331 334 335 338,True,3.71,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,6,-4.11,5,12,0.46,331 334 335 338 342,True,4.86,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,7,-4.081,5,16,0.62,331 334 335 337 338,True,4.12,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,8,-3.87,4,15,0.58,334 338 341 342,True,3.63,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,6,777,9,-3.823,5,12,0.46,331 334 335 337 338,True,4.11,3.52
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,1,-4.341,7,16,0.7,327 330 331 334 335 337 338,True,5.54,3.64
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,2,-4.251,8,17,0.74,331 334 335 337 338 341 342 346,True,6.72,4.79
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,3,-4.143,6,13,0.57,331 334 335 338 339 342,True,5.11,4.31
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,4,-4.14,7,14,0.61,307 323 326 327 330 331 334,True,4.88,3.47
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,5,-4.136,6,16,0.7,334 337 338 341 342 346,True,4.6,4.09
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,6,-4.098,6,18,0.78,327 331 334 335 338 339,True,6.33,4.66
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,7,-4.035,6,15,0.65,327 330 331 334 335 338,True,5.45,3.43
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,8,-3.964,6,13,0.57,331 334 335 338 342 346,True,6.13,4.75
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,42,9,-3.951,5,14,0.61,327 330 331 334 335,True,4.98,3.28
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,2026,1,-4.317,7,16,0.7,327 330 331 334 335 337 338,True,5.53,3.62
XL21,inhibe la agregacion,inhibe la agregacion del LCD in vitro a 100 uM; sin union medida,23,1,2026,2,-4.267,6,17,0.74,334 337 338 341 342 346,True,4.16,3.75
