rbind_id,nombre,smiles,mw,pesados,estado
R-BIND (SM) 0021,Compound 1,Nc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)cc1,277.35,21,entra (NC)
R-BIND (SM) 0022A,Compound 2,N=C(N)c1ccc(Nc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,370.46,28,entra (NC)
R-BIND (SM) 0022B,Compound 2,N=C(N)c1ccc(Nc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,370.46,28,duplicado de R-BIND (SM) 0022A
R-BIND (SM) 0023,Compound 4,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](C)c5ccc(N)cc45)cc3)cc2)cc1,476.58,36,entra (NC)
R-BIND (SM) 0024,RGB-1,O=c1c2c(-c3ccco3)csc2nc2n1Cc1nc3scc(-c4ccco4)c3c(=O)n1C2,460.48,32,entra (NC)
R-BIND (SM) 0025,Benzimidazole 1 (2014),CN1CCN(c2ccc3nc(-c4cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c4)[nH]c3c2)CC1,589.81,43,entra (NC)
R-BIND (SM) 0026,D6,N=C(N)Nc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,314.35,23,entra (NC)
R-BIND (SM) 0027A,Hydroxyellipticine 1a,Cc1c2cc[n+](CCN3CCCCC3)cc2c(C)c2c1[nH]c1ccc(O)cc12,374.51,28,entra (NC)
R-BIND (SM) 0027B,Hydroxyellipticine 1a,Cc1c2cc[n+](CCN3CCCCC3)cc2c(C)c2c1[nH]c1ccc(O)cc12,374.51,28,duplicado de R-BIND (SM) 0027A
R-BIND (SM) 0028,Benzimidazole 1 (2015),O=[N+]([O-])c1ccc2[nH]c(CCCc3nc4cc([N+](=O)[O-])ccc4[nH]3)nc2c1,366.34,27,entra (NC)
