ligand,vina,vinardo
DEC_CHEMBL3193932,-5.2910,-4.4560
DEC_CHEMBL3194612,-5.6560,-4.3200
DEC_CHEMBL3208261,-5.7610,-3.9220
DEC_CHEMBL3213140,-5.1290,-4.0110
DEC_CHEMBL3213756,-4.7010,-4.4660
DEC_CHEMBL3214262,-6.2920,-5.2380
DEC_CHEMBL3774966,-3.8590,-3.4210
DEC_Escitalopram,-5.1950,-4.5010
DEC_Ezogabine,-4.8570,-4.2080
DEC_Gabapentin,-4.7230,-3.8220
DEC_Genistein,-5.6930,-5.2640
DEC_IPRIFLAVONE,-5.9970,-5.8050
DEC_KAEMPFEROL,-5.7360,-5.2850
DEC_Lamotrigine,-4.3750,-3.0480
DEC_Luteolin,-5.8130,-5.3870
DEC_MOLIBRESIB,-6.0360,-4.9050
DEC_Melatonin,-4.9190,-3.7650
DEC_ONONETIN,-5.3260,-4.7360
DEC_Pramipexole,-4.5010,-3.2480
DEC_Quercetin,-5.7970,-4.5600
DEC_Riluzole,-4.7220,-3.5680
DEC_Teriflunomide,-5.4690,-5.3720
DEC_Thiamine,-4.3890,-3.4560
DEC_Tizanidine,-5.4490,-4.8900
