target,ligand,afinidad
FUS,CHEMBL1797074,-7.7
FUS,CHEMBL1797075,-7.7
FUS,CHEMBL18016,-6.4
FUS,CHEMBL1807255,-7.1
FUS,CHEMBL1808121,-6.4
FUS,CHEMBL1808126,-6.9
FUS,CHEMBL1808134,-6.6
FUS,CHEMBL1808208,-6.8
FUS,CHEMBL1808285,-6.5
FUS,CHEMBL1808444,-6.6
FUS,CHEMBL1808738,-6.8
FUS,CHEMBL1808974,-6.4
FUS,CHEMBL1808999,-6.4
FUS,CHEMBL1809058,-6.4
FUS,CHEMBL1809060,-6.6
FUS,CHEMBL18097,-6.9
FUS,CHEMBL18154,-6.4
FUS,CHEMBL18168,-6.6
FUS,CHEMBL18189,-6.4
FUS,CHEMBL18210,-6.6
FUS,CHEMBL18381,-6.8
FUS,CHEMBL18396,-6.4
FUS,CHEMBL18397,-6.4
FUS,CHEMBL18442,-6.6
FUS,CHEMBL18562,-6.4
FUS,CHEMBL1857839,-6.4
FUS,CHEMBL1858013,-6.6
FUS,CHEMBL1858185,-6.6
FUS,CHEMBL1858233,-6.8
FUS,CHEMBL1858263,-6.4
FUS,CHEMBL1858343,-6.4
FUS,CHEMBL1858494,-6.5
FUS,CHEMBL1858557,-6.5
FUS,CHEMBL1858612,-6.5
FUS,CHEMBL1858691,-6.5
FUS,CHEMBL1858700,-6.5
FUS,CHEMBL1858746,-6.7
FUS,CHEMBL1858825,-6.4
FUS,CHEMBL1858950,-6.5
FUS,CHEMBL1859069,-6.4
FUS,CHEMBL1859142,-6.4
FUS,CHEMBL1859156,-6.4
FUS,CHEMBL1859260,-6.5
FUS,CHEMBL1859339,-6.6
FUS,CHEMBL1859368,-6.9
FUS,CHEMBL1859525,-6.4
FUS,CHEMBL1859653,-6.4
FUS,CHEMBL1859674,-6.5
FUS,CHEMBL1859697,-6.6
FUS,CHEMBL1859819,-6.6
FUS,CHEMBL1859853,-6.6
FUS,CHEMBL1859883,-6.4
FUS,CHEMBL18600,-6.4
FUS,CHEMBL1860006,-6.5
FUS,CHEMBL1860112,-6.9
FUS,CHEMBL1860770,-6.6
FUS,CHEMBL1860988,-6.4
FUS,CHEMBL1861631,-6.8
FUS,CHEMBL1861878,-6.6
FUS,CHEMBL1862121,-6.4
FUS,CHEMBL1863113,-6.4
FUS,CHEMBL1863528,-6.7
FUS,CHEMBL1863561,-6.7
FUS,CHEMBL1863704,-6.7
FUS,CHEMBL1863708,-6.4
FUS,CHEMBL1863716,-6.5
FUS,CHEMBL1863824,-6.4
FUS,CHEMBL1863935,-6.4
FUS,CHEMBL1863965,-6.4
FUS,CHEMBL1864036,-6.6
FUS,CHEMBL1864057,-7.1
FUS,CHEMBL1864084,-6.9
FUS,CHEMBL1864181,-6.4
FUS,CHEMBL1864402,-6.7
FUS,CHEMBL1864417,-6.4
FUS,CHEMBL1864439,-6.4
FUS,CHEMBL1864454,-6.5
FUS,CHEMBL1864508,-6.6
FUS,CHEMBL1864543,-6.4
FUS,CHEMBL1864561,-6.4
FUS,CHEMBL1864574,-6.5
FUS,CHEMBL1864613,-6.9
FUS,CHEMBL1864626,-6.5
FUS,CHEMBL1864651,-6.5
FUS,CHEMBL1864667,-6.6
FUS,CHEMBL1864755,-6.8
FUS,CHEMBL1864764,-6.4
FUS,CHEMBL1864784,-6.6
FUS,CHEMBL1864798,-6.5
FUS,CHEMBL1864821,-6.5
FUS,CHEMBL1864856,-6.4
FUS,CHEMBL1865017,-6.8
FUS,CHEMBL1865065,-6.4
FUS,CHEMBL1865152,-6.7
FUS,CHEMBL1865202,-6.4
FUS,CHEMBL1865240,-6.4
FUS,CHEMBL1865383,-6.5
FUS,CHEMBL1865415,-6.6
FUS,CHEMBL1865459,-6.4
FUS,CHEMBL1865668,-6.4
FUS,CHEMBL1865685,-6.5
FUS,CHEMBL18657,-6.4
FUS,CHEMBL1865831,-6.8
FUS,CHEMBL1865860,-6.9
FUS,CHEMBL1866035,-6.5
FUS,CHEMBL18716,-6.5
FUS,CHEMBL18734,-6.7
FUS,CHEMBL18750,-6.4
FUS,CHEMBL18765,-6.8
FUS,CHEMBL18842,-6.8
FUS,CHEMBL18879,-6.9
FUS,CHEMBL1900572,-7.2
FUS,CHEMBL19035,-6.8
FUS,CHEMBL19051,-6.4
FUS,CHEMBL19097,-6.4
FUS,CHEMBL19203,-6.4
FUS,CHEMBL19220,-6.4
FUS,CHEMBL19347,-6.5
FUS,CHEMBL19365,-6.5
FUS,CHEMBL19368,-6.4
FUS,CHEMBL19430,-6.4
FUS,CHEMBL19473,-6.5
FUS,CHEMBL19510,-6.7
FUS,CHEMBL19525,-6.7
FUS,CHEMBL19594,-6.6
FUS,CHEMBL19596,-6.4
FUS,CHEMBL19608,-6.4
FUS,CHEMBL19614,-6.7
FUS,CHEMBL19675,-6.5
FUS,CHEMBL19726,-6.7
FUS,CHEMBL19747,-6.5
FUS,CHEMBL19761,-6.6
FUS,CHEMBL19801,-6.4
FUS,CHEMBL19812,-6.5
FUS,CHEMBL19855,-6.4
FUS,CHEMBL19902,-6.9
FUS,CHEMBL19917,-6.8
FUS,CHEMBL19978,-7.1
FUS,CHEMBL19991,-6.5
FUS,CHEMBL20019,-6.7
FUS,CHEMBL20031,-6.5
FUS,CHEMBL20035,-6.6
FUS,CHEMBL20066,-6.4
FUS,CHEMBL20160,-6.4
FUS,CHEMBL20178,-6.6
FUS,CHEMBL20196,-6.8
FUS,CHEMBL20208,-6.9
FUS,CHEMBL20255,-6.7
FUS,CHEMBL20267,-6.5
FUS,CHEMBL20277,-7.2
FUS,CHEMBL20299,-6.9
FUS,CHEMBL20304,-6.4
FUS,CHEMBL20327,-6.5
FUS,CHEMBL20368,-6.5
FUS,CHEMBL20379,-6.5
FUS,CHEMBL20390,-6.7
FUS,CHEMBL20413,-6.7
FUS,CHEMBL20418,-6.7
FUS,CHEMBL20438,-6.5
FUS,CHEMBL20466,-6.4
FUS,CHEMBL20496,-6.4
FUS,CHEMBL20503,-6.4
FUS,CHEMBL20528,-6.5
FUS,CHEMBL20536,-6.7
FUS,CHEMBL20604,-6.7
FUS,CHEMBL20628,-6.4
FUS,CHEMBL20629,-6.6
FUS,CHEMBL20672,-6.6
FUS,CHEMBL20673,-6.7
FUS,CHEMBL20685,-6.9
FUS,CHEMBL20691,-6.6
FUS,CHEMBL2069796,-6.6
FUS,CHEMBL20701,-6.4
FUS,CHEMBL20714,-6.4
FUS,CHEMBL20752,-6.6
FUS,CHEMBL20754,-6.8
FUS,CHEMBL20773,-6.6
FUS,CHEMBL20795,-6.4
FUS,CHEMBL20812,-6.4
FUS,CHEMBL20825,-6.5
FUS,CHEMBL20834,-7.3
FUS,CHEMBL20838,-6.5
