name,chembl_id,smiles
CHEMBL1333738,CHEMBL1333738,CCCn1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1
CHEMBL1333830,CHEMBL1333830,S=C1SCN(Cc2cccnc2)CN1Cc1cccnc1
CHEMBL1333831,CHEMBL1333831,Cc1cccc(C(=N)NOC(=O)c2ccc(Cl)cc2Cl)c1
CHEMBL1333888,CHEMBL1333888,COCCCN(C(=O)c1ccco1)c1nc(-c2ccc(OC)cc2)cs1
CHEMBL1333900,CHEMBL1333900,Cc1ccc(Nc2nc(CSc3nnnn3-c3ccccc3)cs2)cc1
CHEMBL1334221,CHEMBL1334221,CCc1nnc(NC(=O)CSc2nccn2-c2cc(C)cc(C)c2)s1
CHEMBL1334295,CHEMBL1334295,CCCC(=O)NC(=S)Nc1ccccc1F
CHEMBL1334553,CHEMBL1334553,CCN(CCCNC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCC(C)CC3)cc21)Cc1ccccc1
CHEMBL1334580,CHEMBL1334580,O=C(NCc1nnc(S)n1-c1ccccc1)c1ccc(S(=O)(=O)N2CCCCC2)cc1
CHEMBL1335326,CHEMBL1335326,CCOc1ccc(Nc2nc3ccccc3c3nnc(CC)n23)cc1
CHEMBL1343091,CHEMBL1343091,CCCCn1nc2cc(C(=O)NC3CCCc4ccccc43)ccc2c1OCC
CHEMBL1343107,CHEMBL1343107,COc1ccc(CNC(=O)/C=C/c2ccc(OCCCF)cc2)cc1
CHEMBL1343658,CHEMBL1343658,Cn1c(=O)c(C(=O)NNC(=O)c2ccccc2F)c(O)c2ccccc21
CHEMBL1343668,CHEMBL1343668,O=C(O)c1cnn2c(C(F)(F)F)cc(-c3ccco3)nc12
CHEMBL1343679,CHEMBL1343679,CC(C)Oc1ccc(CC2CCC(=O)N(C)C2=O)cc1
CHEMBL1343719,CHEMBL1343719,Nc1ccccc1Nc1c(F)c(F)nc(F)c1Cl
CHEMBL1343730,CHEMBL1343730,O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1
CHEMBL1344269,CHEMBL1344269,Oc1ccc(-c2onc3ccc(Cl)cc23)cc1
CHEMBL1344270,CHEMBL1344270,CCC(=O)Nc1sc2c(c1C#N)CC(C)(CC)OC2
CHEMBL1344822,CHEMBL1344822,COc1ccc(-n2nnc3c(SCC(=O)NCc4ccco4)ncnc32)cc1
CHEMBL1346563,CHEMBL1346563,CCc1nonc1NC(=O)c1oc2ccccc2c1C
CHEMBL1349775,CHEMBL1349775,O=C(/C=C/Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1)c1ccc2ccccc2c1
CHEMBL1349802,CHEMBL1349802,COc1cc2nc3c(O)n(CCN4CCOCC4)cnc-3c2cc1OC
CHEMBL1350673,CHEMBL1350673,Cc1ccc(C(=O)c2cc([N+](=O)[O-])ccc2N2CCOCC2)cc1C
CHEMBL1351469,CHEMBL1351469,O=C(CNc1cccc([N+](=O)[O-])c1)NCCCc1ccccc1
CHEMBL1351516,CHEMBL1351516,CC1CCN(c2nc(-c3ccncc3)nc3ccccc23)CC1
CHEMBL1351580,CHEMBL1351580,COc1cccc(CSc2nnc(-c3ccc(F)cc3)o2)c1
CHEMBL1351695,CHEMBL1351695,O=C(Nc1cccc(F)c1)Nc1cccc(Cl)c1
CHEMBL1351702,CHEMBL1351702,Cc1onc(-c2ccccc2Cl)c1C(=O)OCC(=O)Nc1ccc2c(c1)OCO2
CHEMBL1352426,CHEMBL1352426,Cc1ccc(OCC(=O)NCCCNC(=O)c2cccnc2)cc1C
CHEMBL1352478,CHEMBL1352478,COc1ccc(N2CCN(C(=O)c3c(-c4c(F)cccc4Cl)noc3C)CC2)cc1
CHEMBL1354146,CHEMBL1354146,O=c1oc2ccccc2c2c1ccc1ccccc12
CHEMBL1354314,CHEMBL1354314,COc1ccc(OC)c(NC(=O)c2noc3c2CCCC3)c1
CHEMBL1354402,CHEMBL1354402,COc1ccc(CNc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1
