ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DECH_CHEMBL1201236,fondo2,-4.833,16,365,,
DECH_CHEMBL93,fondo2,-4.829,16,366,,
DEC_CHEMBL1574931,fondo,-4.825,20,367,,
DECH_CHEMBL1409776,fondo2,-4.82,16,368,,
DEC_CHEMBL1579933,fondo,-4.818,13,369,,
DEC_CHEMBL1334295,fondo,-4.814,16,370,,
DECM_CHEMBL3213756,fondo,-4.813,15,371,,
diazepanoquinazolina_4MQ,positivo,-4.812,18,,,
DEC_Melatonin,fondo,-4.808,17,372,,
DECM_CHEMBL1446677,fondo,-4.805,19,373,,
DECM_CHEMBL459,fondo,-4.798,15,374,,
DEC_CHEMBL1429852,fondo,-4.786,18,375,,
DECH_CHEMBL1563897,fondo2,-4.768,20,376,,
DECM_CHEMBL1468265,fondo,-4.766,15,377,,
DEC_CHEMBL3213756,fondo,-4.764,15,378,,
DEC_Gabapentin,fondo,-4.754,18,379,,
DECM_CHEMBL524,fondo,-4.738,15,380,,
DECH_CHEMBL1536068,fondo2,-4.737,21,381,,
DEC_CHEMBL1571416,fondo,-4.736,18,382,,
DECH_CHEMBL980,fondo2,-4.735,14,383,,
DEC_CHEMBL1708757,fondo,-4.727,19,384,,
DEC_Riluzole,fondo,-4.72,15,385,,
DECH_CHEMBL923,fondo2,-4.717,17,386,,
DECM_CHEMBL1738,fondo,-4.701,19,387,,
DECM_CHEMBL276832,fondo,-4.696,12,388,,
DEC_CHEMBL1579274,fondo,-4.696,17,389,,
DECH_CHEMBL677,fondo2,-4.685,13,390,,
DECM_CHEMBL1201260,fondo,-4.683,13,391,,
DECM_CHEMBL2105420,fondo,-4.682,17,392,,
DEC_CHEMBL1978331,fondo,-4.679,17,393,,
DECM_CHEMBL1232131,fondo,-4.678,12,394,,
DECM_CHEMBL449,fondo,-4.676,15,395,,
DECH_CHEMBL1978331,fondo2,-4.675,17,396,,
DEC_CHEMBL1461527,fondo,-4.666,16,397,,
DEC_Ezogabine,fondo,-4.663,17,398,,
DECH_CHEMBL2105345,fondo2,-4.658,24,399,,
DECH_CHEMBL152,fondo2,-4.657,18,400,,
DECH_CHEMBL1689063,fondo2,-4.652,17,401,,
DECM_CHEMBL92401,fondo,-4.648,13,402,,
DECH_CHEMBL461522,fondo2,-4.643,21,403,,
DEC_CHEMBL1524161,fondo,-4.641,20,404,,
isoproterenol,positivo,-4.636,15,,,
DECM_CHEMBL25,fondo,-4.619,13,405,,
DECM_CHEMBL17860,fondo,-4.618,16,406,,
DEC_CHEMBL1344270,fondo,-4.606,19,407,,
DECM_CHEMBL704,fondo,-4.6,11,408,,
DECH_CHEMBL1201233,fondo2,-4.593,17,409,,
DECM_CHEMBL444,fondo,-4.576,13,410,,
DECH_CHEMBL679,fondo2,-4.575,13,411,,
DECM_CHEMBL61006,fondo,-4.56,11,412,,
adrenalina,positivo,-4.555,13,,,
dopamina,positivo,-4.553,11,,,
DECM_CHEMBL108545,fondo,-4.551,11,413,,
DEC_CHEMBL1401914,fondo,-4.55,18,414,,
DECM_CHEMBL289480,fondo,-4.546,13,415,,
DEC_CHEMBL2359671,fondo,-4.546,15,416,,
DECM_CHEMBL1414576,fondo,-4.545,18,417,,
DECM_CHEMBL1483,fondo,-4.539,18,418,,
DEC_CHEMBL1414576,fondo,-4.527,18,419,,
DEC_Thiamine,fondo,-4.522,18,420,,
DECH_CHEMBL1350,fondo2,-4.517,17,421,,
DECM_CHEMBL301265,fondo,-4.512,14,422,,
DEC_Pramipexole,fondo,-4.511,14,423,,
DEC_CHEMBL1879685,fondo,-4.509,24,424,,
DEC_CAPTOPRIL,fondo,-4.508,14,425,,
DECM_CHEMBL979,fondo,-4.502,15,426,,
DEC_CHEMBL1602618,fondo,-4.495,22,427,,
DECM_CHEMBL1546,fondo,-4.491,11,428,,
DECH_CHEMBL434,fondo2,-4.481,15,429,,
DECM_CHEMBL1169,fondo,-4.462,11,430,,
DECM_CHEMBL550,fondo,-4.439,15,431,,
DECM_CHEMBL2106939,fondo,-4.432,13,432,,
DECH_CHEMBL1201213,fondo2,-4.414,17,433,,
DECM_CHEMBL112,fondo,-4.403,11,434,,
DECH_CHEMBL924,fondo2,-4.376,16,435,,
DECM_CHEMBL1593719,fondo,-4.372,11,436,,
DEC_Lamotrigine,fondo,-4.371,13,437,,
DECM_CHEMBL39736,fondo,-4.37,11,438,,
DECH_CHEMBL546,fondo2,-4.349,19,439,,
DECM_CHEMBL419,fondo,-4.335,12,440,,
DECM_CHEMBL1200790,fondo,-4.332,13,441,,
DECH_CHEMBL1547534,fondo2,-4.325,21,442,,
DECM_CHEMBL607400,fondo,-4.323,15,443,,
DEC_CHEMBL1900371,fondo,-4.315,19,444,,
DECH_CHEMBL1383511,fondo2,-4.303,20,445,,
DEC_CHEMBL1501518,fondo,-4.303,16,446,,
DECH_CHEMBL252556,fondo2,-4.301,24,447,,
DECM_CHEMBL345714,fondo,-4.283,11,448,,
anilina_ZZT,positivo,-4.279,10,,,
DECH_CHEMBL1501518,fondo2,-4.274,16,449,,
DECM_CHEMBL877,fondo,-4.241,11,450,,
DECM_CHEMBL1560,fondo,-4.235,14,451,,
DECH_CHEMBL203266,fondo2,-4.205,19,452,,
DECM_CHEMBL1115,fondo,-4.191,13,453,,
DECH_CHEMBL997,fondo2,-4.187,19,454,,
DECM_CHEMBL476,fondo,-4.181,13,455,,
DEC_CHEMBL1879543,fondo,-4.172,15,456,,
DECM_CHEMBL498847,fondo,-4.103,13,457,,
DECM_CHEMBL1201293,fondo,-4.061,11,458,,
DECH_CHEMBL3774966,fondo2,-4.06,16,459,,
DECM_CHEMBL1100,fondo,-4.048,11,460,,
DEC_Alpha-Lipoic_Acid,fondo,-4.045,12,461,,
DECH_CHEMBL1006,fondo2,-4.031,12,462,,
DEC_CHEMBL3774966,fondo,-3.941,16,463,,
DECH_CHEMBL834,fondo2,-3.939,13,464,,
DECH_CHEMBL871,fondo2,-3.884,11,465,,
DECH_CHEMBL1201345,fondo2,-3.86,19,466,,
DECM_CHEMBL830,fondo,-3.818,12,467,,
DECH_CHEMBL870,fondo2,-3.799,14,468,,
DECH_CHEMBL1201317,fondo2,-3.791,10,469,,
